year;make;model;trim;body;transmission;vin;state;condition;odometer;color;interior;seller;mmr;sellingprice;saledate
2015;Kia;Sorento;LX;SUV;automatic;5xyktca69fg566472;ca;5;16639;white;black;kia motors america  inc;20500;21500;Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015;Kia;Sorento;LX;SUV;automatic;5xyktca69fg561319;ca;5;9393;white;beige;kia motors america  inc;20800;21500;Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014;BMW;3 Series;328i SULEV;Sedan;automatic;wba3c1c51ek116351;ca;45;1331;gray;black;financial services remarketing (lease);31900;30000;Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2015;Volvo;S60;T5;Sedan;automatic;yv1612tb4f1310987;ca;41;14282;white;black;volvo na rep/world omni;27500;27750;Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2014;BMW;6 Series Gran Coupe;650i;Sedan;automatic;wba6b2c57ed129731;ca;43;2641;gray;black;financial services remarketing (lease);66000;67000;Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2015;Nissan;Altima;2.5 S;Sedan;automatic;1n4al3ap1fn326013;ca;1;5554;gray;black;enterprise vehicle exchange / tra / rental / tulsa;15350;10900;Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
2014;BMW;M5;Base;Sedan;automatic;wbsfv9c51ed593089;ca;34;14943;black;black;the hertz corporation;69000;65000;Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
